id	x	y	impact	start	end
id-1	3838058	3251214	234	522367	522370
id-2	3839136	3251214	234	522415	522418
id-3	3840214	3251214	234	522463	522466
id-4	3841292	3251214	234	522511	522514
id-5	3835902	3252292	234	522559	522562
id-6	3836980	3252292	234	522607	522610
id-7	3838058	3252292	234	522655	522658
id-8	3839136	3252292	234	522703	522706
id-9	3840214	3252292	234	522751	522754
id-10	3841292	3252292	234	522799	522802
id-11	3842370	3252292	234	522847	522850
id-12	3843448	3252292	234	522895	522898
id-13	3835902	3253370	234	522943	522946
id-14	3836980	3253370	234	522991	522994
id-15	3838058	3253370	234	523039	523042
id-16	3839136	3253370	234	523087	523090
id-17	3840214	3253370	234	523135	523138
id-18	3841292	3253370	234	523183	523186
id-19	3842370	3253370	234	523231	523234
id-20	3843448	3253370	234	523279	523282
id-21	3835902	3254448	234	523327	523330
id-22	3836980	3254448	234	523375	523378
id-23	3838058	3254448	234	523423	523426
id-24	3839136	3254448	234	523471	523474
id-25	3840214	3254448	234	523519	523522
id-26	3841292	3254448	234	523567	523570
id-27	3842370	3254448	234	523615	523618
id-28	3843448	3254448	234	523663	523666
id-29	3835902	3255526	234	523711	523714
id-30	3836980	3255526	234	523759	523762
id-31	3838058	3255526	234	523807	523810
id-32	3839136	3255526	234	523855	523858
id-33	3840214	3255526	234	523903	523906
id-34	3841292	3255526	234	523951	523954
id-35	3842370	3255526	234	523999	524002
id-36	3843448	3255526	234	524047	524050
id-37	3835902	3256604	234	524095	524098
id-38	3836980	3256604	234	524143	524146
id-39	3838058	3256604	234	524191	524194
id-40	3839136	3256604	234	524239	524242
id-41	3840214	3256604	234	524287	524290
id-42	3841292	3256604	234	524335	524338
id-43	3842370	3256604	234	524383	524386
id-44	3843448	3256604	234	524431	524434
id-45	3835902	3257682	234	524479	524482
id-46	3836980	3257682	234	524527	524530
id-47	3838058	3257682	234	524575	524578
id-48	3839136	3257682	234	524623	524626
id-49	3840214	3257682	234	524671	524674
id-50	3841292	3257682	234	524719	524722
id-51	3842370	3257682	234	524767	524770
id-52	3843448	3257682	234	524815	524818
id-53	3835902	3258760	234	524863	524866
id-54	3836980	3258760	234	524911	524914
id-55	3838058	3258760	234	524959	524962
id-56	3839136	3258760	234	525007	525010
id-57	3840214	3258760	234	525055	525058
id-58	3841292	3258760	234	525103	525106
id-59	3842370	3258760	234	525151	525154
id-60	3843448	3258760	234	525199	525202
id-61	3747531	3440845	234	525275	525278
id-62	3748609	3440845	234	525323	525326
id-63	3749687	3440845	234	525371	525374
id-64	3750765	3440845	234	525419	525422
id-65	3745375	3441923	234	525467	525470
id-66	3746453	3441923	234	525515	525518
id-67	3747531	3441923	234	525563	525566
id-68	3748609	3441923	234	525611	525614
id-69	3749687	3441923	234	525659	525662
id-70	3750765	3441923	234	525707	525710
id-71	3814414	3348155	234	525717	525720
id-72	3751843	3441923	234	525755	525758
id-73	3815492	3348155	234	525765	525768
id-74	3752921	3441923	234	525803	525806
id-75	3816570	3348155	234	525813	525816
id-76	3745375	3443001	234	525851	525854
id-77	3817648	3348155	234	525861	525864
id-78	3746453	3443001	234	525899	525902
id-79	3812258	3349233	234	525909	525912
id-80	3747531	3443001	234	525947	525950
id-81	3813336	3349233	234	525957	525960
id-82	3748609	3443001	234	525995	525998
id-83	3814414	3349233	234	526005	526008
id-84	3749687	3443001	234	526043	526046
id-85	3815492	3349233	234	526053	526056
id-86	3750765	3443001	234	526091	526094
id-87	3816570	3349233	234	526101	526104
id-88	3751843	3443001	234	526139	526142
id-89	3817648	3349233	234	526149	526152
id-90	3752921	3443001	234	526187	526190
id-91	3818726	3349233	234	526197	526200
id-92	3745375	3444079	234	526235	526238
id-93	3819804	3349233	234	526245	526248
id-94	3746453	3444079	234	526283	526286
id-95	3812258	3350311	234	526293	526296
id-96	3747531	3444079	234	526331	526334
id-97	3813336	3350311	234	526341	526344
id-98	3748609	3444079	234	526379	526382
id-99	3814414	3350311	234	526389	526392
id-100	3749687	3444079	234	526427	526430
id-101	3815492	3350311	234	526437	526440
id-102	3750765	3444079	234	526475	526478
id-103	3816570	3350311	234	526485	526488
id-104	3751843	3444079	234	526523	526526
id-105	3817648	3350311	234	526533	526536
id-106	3752921	3444079	234	526571	526574
id-107	3818726	3350311	234	526581	526584
id-108	3745375	3445157	234	526619	526622
id-109	3819804	3350311	234	526629	526632
id-110	3746453	3445157	234	526667	526670
id-111	3812258	3351389	234	526677	526680
id-112	3747531	3445157	234	526715	526718
id-113	3813336	3351389	234	526725	526728
id-114	3748609	3445157	234	526763	526766
id-115	3814414	3351389	234	526773	526776
id-116	3749687	3445157	234	526811	526814
id-117	3815492	3351389	234	526821	526824
id-118	3750765	3445157	234	526859	526862
id-119	3816570	3351389	234	526869	526872
id-120	3751843	3445157	234	526907	526910
id-121	3817648	3351389	234	526917	526920
id-122	3752921	3445157	234	526955	526958
id-123	3818726	3351389	234	526965	526968
id-124	3745375	3446235	234	527003	527006
id-125	3819804	3351389	234	527013	527016
id-126	3746453	3446235	234	527051	527054
id-127	3812258	3352467	234	527061	527064
id-128	3747531	3446235	234	527099	527102
id-129	3813336	3352467	234	527109	527112
id-130	3748609	3446235	234	527147	527150
id-131	3814414	3352467	234	527157	527160
id-132	3749687	3446235	234	527195	527198
id-133	3815492	3352467	234	527205	527208
id-134	3750765	3446235	234	527243	527246
id-135	3816570	3352467	234	527253	527256
id-136	3751843	3446235	234	527291	527294
id-137	3817648	3352467	234	527301	527304
id-138	3752921	3446235	234	527339	527342
id-139	3818726	3352467	234	527349	527352
id-140	3745375	3447313	234	527387	527390
id-141	3819804	3352467	234	527397	527400
id-142	3746453	3447313	234	527435	527438
id-143	3812258	3353545	234	527445	527448
id-144	3747531	3447313	234	527483	527486
id-145	3813336	3353545	234	527493	527496
id-146	3748609	3447313	234	527531	527534
id-147	3814414	3353545	234	527541	527544
id-148	3749687	3447313	234	527579	527582
id-149	3815492	3353545	234	527589	527592
id-150	3750765	3447313	234	527627	527630
id-151	3816570	3353545	234	527637	527640
id-152	3751843	3447313	234	527675	527678
id-153	3817648	3353545	234	527685	527688
id-154	3752921	3447313	234	527723	527726
id-155	3818726	3353545	234	527733	527736
id-156	3745375	3448391	234	527771	527774
id-157	3819804	3353545	234	527781	527784
id-158	3746453	3448391	234	527819	527822
id-159	3812258	3354623	234	527829	527832
id-160	3747531	3448391	234	527867	527870
id-161	3813336	3354623	234	527877	527880
id-162	3748609	3448391	234	527915	527918
id-163	3814414	3354623	234	527925	527928
id-164	3749687	3448391	234	527963	527966
id-165	3815492	3354623	234	527973	527976
id-166	3750765	3448391	234	528011	528014
id-167	3816570	3354623	234	528021	528024
id-168	3751843	3448391	234	528059	528062
id-169	3817648	3354623	234	528069	528072
id-170	3752921	3448391	234	528107	528110
id-171	3818726	3354623	234	528117	528120
id-172	3819804	3354623	234	528165	528168
id-173	3812258	3355701	234	528213	528216
id-174	3813336	3355701	234	528261	528264
id-175	3814414	3355701	234	528309	528312
id-176	3815492	3355701	234	528357	528360
id-177	3816570	3355701	234	528405	528408
id-178	3817648	3355701	234	528453	528456
id-179	3818726	3355701	234	528501	528504
id-180	3819804	3355701	234	528549	528552
id-181	4112925	3469669	234	529132	529135
id-182	4114003	3469669	234	529180	529183
id-183	4150208	3578604	234	529225	529228
id-184	4115081	3469669	234	529228	529231
id-185	4151286	3578604	234	529273	529276
id-186	4116159	3469669	234	529276	529279
id-187	4152364	3578604	234	529321	529324
id-188	4110769	3470747	234	529324	529327
id-189	4153442	3578604	234	529369	529372
id-190	4111847	3470747	234	529372	529375
id-191	4148052	3579682	234	529417	529420
id-192	4112925	3470747	234	529420	529423
id-193	4149130	3579682	234	529465	529468
id-194	4114003	3470747	234	529468	529471
id-195	4150208	3579682	234	529513	529516
id-196	4115081	3470747	234	529516	529519
id-197	4151286	3579682	234	529561	529564
id-198	4116159	3470747	234	529564	529567
id-199	4152364	3579682	234	529609	529612
id-200	4117237	3470747	234	529612	529615
id-201	4153442	3579682	234	529657	529660
id-202	4118315	3470747	234	529660	529663
id-203	4154520	3579682	234	529705	529708
id-204	4110769	3471825	234	529708	529711
id-205	4155598	3579682	234	529753	529756
id-206	4111847	3471825	234	529756	529759
id-207	4148052	3580760	234	529801	529804
id-208	4112925	3471825	234	529804	529807
id-209	4149130	3580760	234	529849	529852
id-210	4114003	3471825	234	529852	529855
id-211	4150208	3580760	234	529897	529900
id-212	4115081	3471825	234	529900	529903
id-213	4151286	3580760	234	529945	529948
id-214	4116159	3471825	234	529948	529951
id-215	4152364	3580760	234	529993	529996
id-216	4117237	3471825	234	529996	529999
id-217	4153442	3580760	234	530041	530044
id-218	4118315	3471825	234	530044	530047
id-219	4154520	3580760	234	530089	530092
id-220	4110769	3472903	234	530092	530095
id-221	4155598	3580760	234	530137	530140
id-222	4111847	3472903	234	530140	530143
id-223	4148052	3581838	234	530185	530188
id-224	4112925	3472903	234	530188	530191
id-225	4149130	3581838	234	530233	530236
id-226	4114003	3472903	234	530236	530239
id-227	4150208	3581838	234	530281	530284
id-228	4115081	3472903	234	530284	530287
id-229	4151286	3581838	234	530329	530332
id-230	4116159	3472903	234	530332	530335
id-231	4152364	3581838	234	530377	530380
